sender,receiver,amount_avg
0,17,6.000000
0,9,6.000000
1,13,1.166667
1,17,1.166667
1,3,1.166667
1,5,1.166667
1,6,1.166667
1,7,1.166667
11,13,1.750000
11,18,1.750000
11,2,1.750000
11,6,1.750000
12,13,3.500000
12,14,3.500000
12,16,3.500000
12,18,3.500000
13,1,3.000000
13,11,3.000000
13,12,3.000000
14,12,1.500000
14,17,1.500000
14,3,1.500000
14,8,1.500000
15,19,4.000000
15,4,4.000000
16,12,6.000000
17,0,2.000000
17,1,2.000000
17,14,2.000000
17,2,2.000000
18,11,1.600000
18,12,1.600000
18,4,1.600000
18,7,1.600000
18,8,1.600000
19,15,7.000000
2,11,4.666667
2,17,4.666667
2,8,4.666667
3,1,4.666667
3,14,4.666667
3,9,4.666667
4,15,1.800000
4,18,1.800000
4,6,1.800000
4,7,1.800000
4,8,1.800000
5,1,4.500000
5,7,4.500000
6,1,3.666667
6,11,3.666667
6,4,3.666667
7,1,1.500000
7,18,1.500000
7,4,1.500000
7,5,1.500000
8,14,2.000000
8,18,2.000000
8,2,2.000000
8,4,2.000000
9,0,5.500000
9,3,5.500000
