sender,receiver,amount_avg
0,11,1.333333
0,13,1.333333
0,15,1.333333
0,16,1.333333
0,3,1.333333
0,4,1.333333
0,7,1.333333
0,8,1.333333
0,9,1.333333
1,10,0.777778
1,11,0.777778
1,13,0.777778
1,14,0.777778
1,15,0.777778
1,17,0.777778
1,5,0.777778
1,6,0.777778
1,7,0.777778
10,1,1.000000
10,11,1.000000
10,13,1.000000
10,18,1.000000
10,3,1.000000
10,4,1.000000
10,5,1.000000
10,8,1.000000
11,0,1.285714
11,1,1.285714
11,10,1.285714
11,15,1.285714
11,17,1.285714
11,5,1.285714
11,8,1.285714
13,0,1.285714
13,1,1.285714
13,10,1.285714
13,15,1.285714
13,4,1.285714
13,6,1.285714
13,9,1.285714
14,1,1.375000
14,15,1.375000
14,16,1.375000
14,17,1.375000
14,18,1.375000
14,3,1.375000
14,6,1.375000
14,9,1.375000
15,0,1.181818
15,1,1.181818
15,11,1.181818
15,13,1.181818
15,14,1.181818
15,16,1.181818
15,17,1.181818
15,4,1.181818
15,6,1.181818
15,7,1.181818
15,8,1.181818
16,0,1.285714
16,14,1.285714
16,15,1.285714
16,3,1.285714
16,4,1.285714
16,5,1.285714
16,9,1.285714
17,1,1.100000
17,11,1.100000
17,14,1.100000
17,15,1.100000
17,18,1.100000
17,5,1.100000
17,6,1.100000
17,7,1.100000
17,8,1.100000
17,9,1.100000
18,10,1.500000
18,14,1.500000
18,17,1.500000
18,3,1.500000
18,7,1.500000
18,8,1.500000
3,0,1.500000
3,10,1.500000
3,14,1.500000
3,16,1.500000
3,18,1.500000
3,4,1.500000
3,6,1.500000
3,8,1.500000
4,0,1.571429
4,10,1.571429
4,13,1.571429
4,15,1.571429
4,16,1.571429
4,3,1.571429
4,7,1.571429
5,1,1.400000
5,10,1.400000
5,11,1.400000
5,16,1.400000
5,17,1.400000
6,1,1.625000
6,13,1.625000
6,14,1.625000
6,15,1.625000
6,17,1.625000
6,3,1.625000
6,8,1.625000
6,9,1.625000
7,0,1.142857
7,1,1.142857
7,15,1.142857
7,17,1.142857
7,18,1.142857
7,4,1.142857
7,9,1.142857
8,0,1.555556
8,10,1.555556
8,11,1.555556
8,15,1.555556
8,17,1.555556
8,18,1.555556
8,3,1.555556
8,6,1.555556
8,9,1.555556
9,0,1.500000
9,13,1.500000
9,14,1.500000
9,16,1.500000
9,17,1.500000
9,6,1.500000
9,7,1.500000
9,8,1.500000
